BranchName,Address,LibraryID
Bruce J. Host Northeast Branch Library,5513 Thomasville Road Tallahassee Florida 32312,1
Dr BL Perry Jr Branch Library,2817 S Adams St Tallahassee FL 32301,1
Eastside Branch Library,1583 Pedrick Rd Tallahassee FL 32317,1
Jane G. Sauls Fort Braden Branch Library,16327 Blountstown Highway Tallahassee Florida 32310,1
Lake Jackson Branch Library,3840 N Monroe St Apartment 300 Tallahassee FL 32303,1
Leroy Collins Leon County Main Public Library,200 W Park Ave Tallahassee FL 32301,1
Woodville Branch Library,8000 Old Woodville Rd Tallahassee FL 32305,1
Northwest Regional Library,3151 University Dr. Coral Springs FL 33065,15
Nova Southeastern University Alvin Sherman Library,Research & Information Technology Center 3100 Ray Ferrero Jr. Blvd. Fort Lauderdale FL 33314,15
South Regional/Broward College Library,7300 Pines Blvd. Pembroke Pines FL 33024,15
Marta,Beth Friedman Stirling Road Branch 3151 Stirling Rd. Hollywood FL 33312,15
West Regional Library,8601 W Broward Blvd. Plantation FL 33324,15
African American Research Library & Cultural Center,2650 Sistrunk Blvd. Fort Lauderdale FL 33311,15
Carver Ranches Branch,4735 SW 18 St. West Park FL 33023,15
Century Plaza/Leon Slatin Branch,1856 A W Hillsboro Blvd. Deerfield Beach FL 33442,15
Dania Beach Paul DeMaio Branch,1 Park Ave. E Dania Beach FL 33004,15
Deerfield Beach Percy White Branch,837 E Hillsboro Blvd. Deerfield Beach FL 33441,15
Hallandale Beach Branch,300 S Federal Hwy. Hallandale FL 33009,15
Hollywood Branch,2600 Hollywood Blvd. Hollywood FL 33020,15
Imperial Point Branch,5985 N Federal Hwy. Fort Lauderdale FL 33308,15
Lauderhill Central Park Library,3810 NW 11 Pl. Lauderhill FL 33311,15
Lauderhill Towne Centre Branch,6399 W Oakland Park Blvd. Lauderhill FL 33313,15
Main Library,100 S Andrews Ave. Fort Lauderdale FL 33301,15
Margate Catharine Young Branch,5810 Park Dr. Margate FL 33063,15
Miramar Branch Library & Education Center,2050 Civic Center Pl. Miramar FL 33025,15
North Lauderdale Saraniero Branch,6901 Kimberly Blvd. North Lauderdale FL 33068,15
North Regional/Broward College Library,1100 Coconut Creek Blvd. Coconut Creek FL 33066,15
Pembroke Pines/Walter C. Young Resource Center,955 NW 129th Ave. Pembroke Pines FL 33028,15
Pompano Beach Library & Cultural Center,50 W Atlantic Blvd. Pompano Beach FL 33060,15
Riverland Branch,2710 W Davie Blvd. Fort Lauderdale FL 33312,15
Southwest Regional Library,16835 Sheridan St. Pembroke Pines FL 33331,15
Sunrise Dan Pearl Branch,10500 W Oakland Park Blvd. Sunrise FL 33351,15
Tamarac Branch,8701 W Commercial Blvd. Tamarac FL 33351,15
Weston Branch,4205 Bonaventure Blvd. Weston FL 33332,15
Beach Branch,3250 NE 2nd St. Pompano Beach FL 33062,15
Broward County Branch formerly Young at Art,751 SW 121 Ave. Davie FL 33325,15
Davie/Cooper City Branch,4600 SW 82 Ave. Davie FL 33328,15
Fort Lauderdale Reading Center,1300 E Sunrise Blvd. Fort Lauderdale FL 33304,15
Galt Ocean Mile Reading Center,3403 Galt Ocean Dr. Fort Lauderdale FL 33308,15
Hollywood Beach Bernice P. Oster Branch,1301 S Ocean Dr. Hollywood FL 33019,15
Jan Moran Collier City Learning Library,2800 NW 9 Ct. Pompano Beach FL 33069,15
Lauderdale Lakes Library/Educational & Cultural Center,3580 W Oakland Park Blvd. Lauderdale Lakes FL 33311,15
Northwest Branch,1580 NW 3 Ave. Pompano Beach FL 33060,15
Tyrone Bryant Branch,2230 NW 21 Ave. Fort Lauderdale FL 33311,15
